Actual Price,Predicted Price
380000.0,418152.97313214396
700000.0,655833.5010748293
710000.0,697039.9091209152
158000.0,190482.96756102628
485000.0,433085.0759258311
380000.0,347812.84143481386
390000.0,338552.2637008083
620000.0,655833.5010748293
800000.0,528918.9363750862
345000.0,282766.65349916794
2368000.0,1192467.0021999506
400000.0,459053.30789303547
175000.0,192883.08281778856
450000.0,421740.4435341395
175000.0,202235.59288642736
230000.0,369657.84686891915
899000.0,743798.0285744654
330000.0,354986.96330763353
630000.0,777860.958863272
200000.0,328087.7056404801
390000.0,491608.5738040817
210000.0,369657.84686891915
350000.0,454226.26151511574
188000.0,191286.000085459
1480000.0,1613408.775798693
480000.0,388701.7886062183
298000.0,413233.21184682957
280000.0,184091.38634096715
600000.0,655833.5010748293
368000.0,369657.84686891915
550000.0,849603.9899607244
258000.0,697039.9091209152
380000.0,443539.532124361
565000.0,652354.0453417316
218700.0,347812.84143481386
180000.0,306410.68145026726
360000.0,267650.6618949611
395000.0,505050.9524817348
522500.0,418152.97313214396
438000.0,369657.84686891915
230000.0,306410.68145026726
340000.0,299383.04631891
2700000.0,2244358.969024425
79000.0,190482.96756102628
265000.0,357773.027875324
420000.0,372226.538277054
223880.0,202235.59288642736
488000.0,383472.8313681296
250000.0,369657.84686891915
140000.0,192883.08281778856
210000.0,328087.7056404801
620000.0,655833.5010748293
1350000.0,923417.7402903214
315000.0,209228.10330764155
320000.0,421740.4435341395
620000.0,655833.5010748293
532000.0,505050.9524817348
345000.0,357773.027875324
610000.0,579244.0587728692
495000.0,347812.84143481386
119000.0,192883.08281778856
950000.0,1203122.2681264067
480000.0,306410.68145026726
470000.0,678183.8741803567
238000.0,267650.6618949611
200000.0,267650.6618949611
428000.0,434509.3160542895
428000.0,299383.04631891
245000.0,306410.68145026726
495000.0,389678.113409996
368000.0,267650.6618949611
420000.0,764599.6665477128
230000.0,282766.65349916794
505000.0,369657.84686891915
360000.0,418152.97313214396
310000.0,517368.50691484124
450000.0,418152.97313214396
250000.0,299383.04631891
179000.0,267650.6618949611
498000.0,357773.027875324
170000.0,187703.13829216952
289000.0,306410.68145026726
270000.0,230761.36850904627
160000.0,192883.08281778856
260000.0,275005.40967915393
500000.0,275005.40967915393
128000.0,192883.08281778856
710000.0,849603.9899607244
1100000.0,666726.9252937551
220000.0,369657.84686891915
285000.0,306410.68145026726
360000.0,678183.8741803567
460000.0,337804.3268244809
248000.0,357773.027875324
395000.0,423894.5885557508
660000.0,748931.981086632
295000.0,267650.6618949611
835000.0,913662.8952420129
295000.0,306410.68145026726
530000.0,443539.532124361
388000.0,502501.9980230076
225000.0,342064.43150999956
430000.0,518354.53417287616
550000.0,275005.40967915393
630000.0,518354.53417287616
275000.0,299383.04631891
320000.0,267650.6618949611
350000.0,383472.8313681296
450000.0,454226.26151511574
498000.0,514409.1982379943
290000.0,434509.3160542895
650000.0,612944.2143676098
200000.0,328087.7056404801
515000.0,369657.84686891915
368000.0,267650.6618949611
360000.0,655833.5010748293
399000.0,514409.1982379943
420000.0,418152.97313214396
378000.0,359500.53371577134
269000.0,267650.6618949611
371000.0,299383.04631891
155000.0,267650.6618949611
530000.0,459053.30789303547
680000.0,371227.43333178177
888000.0,913662.8952420129
600000.0,306410.68145026726
225000.0,306410.68145026726
350000.0,421740.4435341395
498000.0,369657.84686891915
100000.0,267650.6618949611
315000.0,359500.53371577134
450000.0,369657.84686891915
170000.0,192883.08281778856
400000.0,454226.26151511574
399000.0,418152.97313214396
250000.0,371227.43333178177
520000.0,505050.9524817348
215000.0,299383.04631891
290000.0,338552.2637008083
380000.0,655833.5010748293
580000.0,518354.53417287616
